artist,album,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Black Dahlia Murder,Everblack,Into the Everblack,3lQMzffAEj7NnJLL6T0Y62,2.16e-05,0.453,0.98,1,-3.394,1,0.0715,0.0203,0.188,0.132,107.929,273869,4
Dying Fetus,Reign Supreme,Second Skin,34M02dzGv4LoiHoE4stmp9,0.000522,0.306,0.973,1,-6.021,1,0.0649,0.555,0.308,0.308,109.83,282080,4
Prototype,Continuum,The Way it Ends,357lzRmFju5vSNl0BqSsL2,6.7e-05,0.288,0.93,10,-5.132,0,0.0598,0.00171,0.0887,0.226,93.71,321987,4
The Black Dahlia Murder,Ritual,Moonlight Equilibrium,40gZAlqBJbZ9gZFyAo53Cj,3.34e-05,0.511,0.983,4,-5.215,0,0.0932,0.682,0.176,0.356,108.968,208840,4
The Black Dahlia Murder,Ritual,On Stirring Seas of Salted Blood,0ZjsvDcQE6rPg3hqYfZwHp,0.000605,0.28,0.95,1,-6.142,1,0.143,0.266,0.372,0.119,90.697,282307,3
The Black Dahlia Murder,Ritual,The Window,6fGOyGmAjpbWb6XSQsmBsQ,6.24e-05,0.474,0.984,10,-5.112,1,0.12,0.946,0.111,0.108,107.935,219320,4
The Black Dahlia Murder,Ritual,Blood in the Ink,4KBwpbFpKNijwRgDdwDmJ6,0.000154,0.512,0.967,11,-6.208,0,0.101,0.551,0.191,0.141,112.53,280373,4
The Black Dahlia Murder,Nocturnal,Everything Went Black,1LRi0Km3V44DeCiwfRNr5l,5.43e-05,0.487,0.994,7,-3.633,1,0.175,0.00265,0.151,0.0723,106.965,197040,4
The Black Dahlia Murder,Nocturnal,What a Horrible Night to Have a Curse,430xmK8Tw4J4VG8PxCqO4I,1.69e-05,0.507,0.993,5,-3.44,1,0.139,0.000665,0.0804,0.104,108.012,230693,1
The Black Dahlia Murder,Nocturnal,Virally Yours,0TUTZ7R5O5LuB8oT93G2qk,0.000173,0.474,0.982,10,-3.316,0,0.143,0.000405,0.341,0.114,99.72,182507,3
The Black Dahlia Murder,Nocturnal,Nocturnal,0b01eiSseb2nvVa9izc2rJ,0.000101,0.302,0.984,1,-3.142,1,0.125,2.91e-06,0.701,0.165,100.723,192933,3
The Black Dahlia Murder,Nocturnal,Deathmask Divine,3oCTRjyXmT1MMn4nVQMKBm,7.36e-06,0.471,0.993,1,-3.738,1,0.191,0.00216,0.0925,0.0672,113.996,217253,4
The Black Dahlia Murder,Nocturnal,Climactic Degradation,2uq10O440JvKvbzduUYZLa,9.6e-05,0.518,0.982,7,-3.655,1,0.229,2.28e-05,0.321,0.189,112.516,159027,4
The Black Dahlia Murder,Nocturnal,To a Breathless Oblivion,2fA9AAIcDdzm0Uikppu5T9,2.69e-05,0.187,0.951,0,-4.752,1,0.124,0.00889,0.0963,0.0722,95.283,297160,4
The Black Dahlia Murder,Nocturnal,Warborn,2iH0puQLN2VxEeDaky3edP,7.31e-06,0.397,0.967,10,-3.942,0,0.0768,0.107,0.0507,0.326,159.945,280213,3
Lamb of God,Sacrament,Redneck,6Q5j7UxkHMETQrn1ZCuoCE,5.63e-05,0.512,0.996,2,-2.1,1,0.114,0.000167,0.347,0.0601,130.931,220880,4
Lamb of God,Sacrament,Walk with Me In Hell,7lLfaxlcRLf4XeHFZc7BQ0,3.39e-05,0.286,0.982,0,-3.828,0,0.131,0.00675,0.309,0.118,110.629,311507,4
Lamb of God,Sacrament,Descending,4SaMfM8rBt6JLIwPa2LiHO,7.94e-05,0.494,0.969,2,-3.5,1,0.0905,4.42e-05,0.0736,0.129,93.185,215240,3
Lamb of God,Ashes Of The Wake,Omerta,1uOkapWUZPXQRRHTAAfu6E,0.00211,0.415,0.98,6,-4.056,0,0.202,0.00164,0.325,0.185,118.512,285973,4
Lamb of God,Ashes Of The Wake,Now You've Got Something to Die For,6uw0ccDTu2taJB1KU6ggQk,0.00272,0.36,0.986,2,-2.486,1,0.103,0.00109,0.125,0.217,92.335,219773,4
Lamb of God,Wrath,Grace,2F9tfxxFvnbijR10IvW6Rg,4.05e-05,0.3,0.976,6,-3.592,1,0.297,0.0237,0.113,0.186,129.204,235133,4
Lamb of God,Wrath,Dead Seeds,4KVfAs5lGzPHunOT1OZ5fG,0.000175,0.523,0.993,4,-2.523,0,0.139,0.00812,0.244,0.239,114.119,221080,4
Metalocalypse: Dethklok,The Dethalbum,Better Metal Snake,6RXiVAS7iltes5CFPTBN59,1.28e-05,0.535,0.881,0,-5.899,1,0.0807,0.822,0.101,0.432,142.004,206573,4
Metalocalypse: Dethklok,Dethalbum III,I Ejaculate Fire,5pqveLrHgPvUZ1SGmw7O1E,0.000206,0.44,0.838,8,-5.771,1,0.041,0.464,0.105,0.149,179.962,218373,4
Metalocalypse: Dethklok,Dethalbum II,Laser Cannon Deth Sentence,7GRrvK9hkyhnR1JmENf8rS,0.000105,0.215,0.935,5,-5.066,1,0.112,0.894,0.109,0.0433,160.022,275813,4
Metalocalypse: Dethklok,The Dethalbum,Fansong,5Lioq6dI8B9oIXqjb4YmO2,0.000163,0.59,0.928,10,-6.739,0,0.0825,0.817,0.346,0.325,103.021,172787,4
Metalocalypse: Dethklok,Dethalbum III,Skyhunter,75ctfr2HzBUit0tpjmIBYZ,6.36e-05,0.557,0.944,1,-3.267,1,0.0551,0.511,0.126,0.334,95.02,248120,4
Metalocalypse: Dethklok,Dethalbum III,Andromeda,0OQp3Vktk1QNLlkmP0uZrL,0.000215,0.566,0.924,1,-5.254,1,0.0755,0.836,0.258,0.18,100.03,207760,4
Metalocalypse: Dethklok,Dethalbum II,Symmetry,0bGwjHdGCbn0lXiZSgMTC5,0.000174,0.541,0.941,1,-5.322,1,0.0563,0.846,0.183,0.553,150.027,271227,3
Metalocalypse: Dethklok,Dethalbum III,Andromeda,0STnoyGGkrT7TGRXUa57bE,0.000189,0.565,0.926,1,-5.272,1,0.0508,0.89,0.236,0.249,100.004,207773,4
At The Gates,Slaughter Of The Soul,Cold,3JRmeCjOaBqRCvzwCx9MNh,2.28e-06,0.245,0.983,7,-7.314,1,0.124,0.811,0.658,0.276,129.996,207773,3
At The Gates,Slaughter Of The Soul,Under A Serpent Sun,4Jg1FIbHlwoRi0olOJxtcF,3.66e-06,0.171,0.983,7,-7.688,1,0.191,0.887,0.299,0.184,79.262,239293,4
The Black Dahlia Murder,Deflorate,I Will Return,5sFfSPYg2oypNTLW3qfWL6,0.000163,0.441,0.98,3,-5.258,1,0.114,0.0371,0.262,0.0964,107.965,334800,4
The Black Dahlia Murder,Deflorate,Necropolis,4q78b8XmMWj2PyTh0PQVf9,0.000112,0.49,0.968,7,-5.013,0,0.118,0.0628,0.198,0.199,106.987,210480,3
Kataklysm,Shadows And Dust Deluxe Edition,In Shadows And Dust,6oQyQfebdazHVbbhfDOM7F,0.000745,0.239,0.956,7,-4.891,1,0.265,0.00722,0.167,0.0533,82.277,168747,4
Kataklysm,The Prophecy,Stormland,0pfnlUBHg3xSpnYSRdrCne,4.72e-06,0.309,0.91,6,-4.845,0,0.136,0.000774,0.0396,0.363,104.431,193373,4
The Black Dahlia Murder,Miasma,Statutory Ape,28Tr02JcJSJCgz1z6dUN9b,1.03e-05,0.443,0.993,0,-4.833,0,0.122,0.0287,0.0744,0.0403,106.239,222280,4
The Black Dahlia Murder,Miasma,Miasma,6ocVtY2pO2fxuvhaQVKMqP,5.65e-06,0.25,0.974,5,-5.777,0,0.108,0.0105,0.124,0.061,111.209,281573,4
Decapitated,Nihility,Spheres of Madness,4lNznSUjByH5zWpPZFFeff,2.59e-05,0.472,0.998,6,-4.674,0,0.224,0.586,0.225,0.0863,154.901,315133,4
Lamb of God,Sacrament,Again We Rise,6mKoFffXxSVfWvewIAM180,9.12e-05,0.431,0.994,2,-3.743,1,0.153,3.3e-05,0.115,0.0617,110.268,270440,4
Lamb of God,Sacrament,Blacken The Cursed Sun,12jKlb0EwgmLi2DA2yEGoQ,3.68e-05,0.401,0.995,6,-2.831,0,0.118,0.00128,0.176,0.112,116.444,328200,3
The Black Dahlia Murder,Deflorate,Black Valor,2zAgEHeif0PDty6tMnZQfU,9.17e-05,0.478,0.973,1,-5.03,1,0.167,0.0192,0.302,0.233,112.595,189373,4
The Black Dahlia Murder,Deflorate,"Denounced, Disgraced",1Oq6xVJKV0AGbZB9K9wzRe,0.000923,0.438,0.973,7,-5.117,1,0.153,0.00892,0.488,0.107,105.027,223280,3
In Flames,Siren Charms,Siren Charms,5pxL3QTr6OBveQbHcG3nYa,0.000457,0.576,0.863,3,-4.245,0,0.0491,0.000593,0.0763,0.4,95.081,184253,3
Dying Fetus,Reign Supreme,Subjected to a Beating,7dU9Z24yR9AKuS9cAe2Tj7,0.000254,0.231,0.983,8,-5.199,1,0.0977,0.059,0.506,0.336,161.044,293387,4
Dying Fetus,Grotesque Impalement,Grotesque Impalement,7KT0ITk9CT16thNSLxd1rZ,0.000274,0.34,0.872,1,-7.515,1,0.112,0.366,0.0911,0.413,94.032,308709,4
Dying Fetus,Reign Supreme,In the Trenches,36YSMRcddGQIFBuYnvZOMv,0.00167,0.298,0.946,6,-5.62,0,0.0733,0.0628,0.349,0.628,103.329,224480,4
Dying Fetus,Destroy the Opposition,Epidemic of Hate,2XLyG9dyUJ5Nns4SmGpPOr,0.000331,0.413,0.942,6,-6.082,0,0.158,0.013,0.0748,0.369,125.865,282400,4
Metalocalypse: Dethklok,The Dethalbum,Face Fisted,5tvdxJ8JpA9u4lKsLcUYKL,0.000331,0.64,0.821,1,-7.522,1,0.0422,0.919,0.273,0.594,105.059,257173,4
Dying Fetus,Reign Supreme,Dissidence,0DVO934dqbUuAuAS0l7AKF,0.000234,0.309,0.985,2,-5.559,1,0.123,0.0719,0.155,0.247,120.027,207560,4
Metalocalypse: Dethklok,Dethalbum II,Burn the Earth,2Ot3d8cruuKAwwfzagj0X2,3.72e-06,0.572,0.888,1,-6.132,1,0.0352,0.924,0.207,0.377,119.981,239667,3
Metalocalypse: Dethklok,Dethalbum II,Bloodlines,31BQPqg0PGatf52fIeu3Hh,1.95e-05,0.591,0.877,1,-6.816,1,0.0573,0.911,0.104,0.163,109.944,210560,4
Metalocalypse: Dethklok,Dethalbum II,Black Fire Upon Us,5umG01vYs9Sl2aD7FF1s2m,3.71e-05,0.45,0.926,8,-6.418,1,0.0642,0.622,0.135,0.342,165.03,340027,3
Dying Fetus,Descend Into Depravity,Ethos of Coercion,0ghgsfOnoXJT7jsS63U8et,5.81e-05,0.229,0.905,2,-6.434,1,0.0698,0.934,0.367,0.177,92.239,196427,4
Metalocalypse: Dethklok,The Dethalbum,Murmaider,5ghMfHMHakVS0omjj2cBSA,0.000643,0.407,0.863,0,-7.968,1,0.0704,0.591,0.128,0.519,113.98,204360,3
Metalocalypse: Dethklok,The Dethalbum,Go Into the Water,56C7rBk3rrZ0bsm029Esw0,0.000225,0.246,0.802,1,-6.207,1,0.0627,0.253,0.142,0.203,180.293,260227,3
Metalocalypse: Dethklok,The Dethalbum,Go Forth and Die,0QE5hb7A6qCQtZ8bPtFFPa,8.5e-06,0.563,0.874,8,-6.136,1,0.0376,0.822,0.0518,0.545,117.005,261627,3
Metalocalypse: Dethklok,The Dethalbum,Detharmonic,3fXjDa7j6p59VvN4lLI5lQ,0.0015,0.294,0.858,7,-6.044,0,0.0691,0.061,0.333,0.16,120.163,270880,4
Dying Fetus,Descend Into Depravity,Atrocious By Nature,10MUfGStjV2jyOZkNbRBHY,1.51e-05,0.281,0.893,4,-6.61,1,0.068,0.913,0.301,0.315,109.665,232093,4
Metalocalypse: Dethklok,Dethalbum III,The Galaxy,15LWppLETHFjpcjSKkbFLt,1.23e-05,0.471,0.91,5,-5.177,0,0.0515,0.888,0.108,0.232,94.979,315107,4
Lamb of God,512,512,1nF799xuckKAddjI8JA4Ct,1.76e-05,0.351,0.969,1,-4.635,1,0.0993,0.0686,0.0857,0.115,192.165,285027,4
Lamb of God,Still Echoes,Still Echoes,0V1WiVp8DRjv8M9nhblTgR,4.46e-05,0.257,0.989,2,-5.005,1,0.127,0.0167,0.358,0.0935,121.061,262334,4
Lamb of God,Overlord,Overlord,5dTTOdOQkQDhK1nCVtrfaH,0.000752,0.498,0.841,0,-5.943,1,0.0341,0.00951,0.115,0.305,110.055,388107,4
Henker,Slave of My Art,Breath of Death,1B7JhRZMvd5BwGbEpLTCRq,0.000438,0.262,0.887,2,-6.176,0,0.0875,0.0114,0.319,0.0954,135.64,169280,3
Henker,Slave of My Art,Mental Corruption,5m2P7UpTdvVKVbPHaCWNSz,0.00314,0.476,0.947,5,-6.427,1,0.14,0.464,0.235,0.0752,124.95,229000,4
Ingested,The Architect Of Extinction (NotSet),The Divine Right Of Kings,1q9wdBbqIBtxGxHM7t4sja,8.25e-06,0.277,0.982,2,-2.403,1,0.219,0.0108,0.305,0.163,135.027,240040,4
Ingested,Surpassing the Boundaries of Human Suffering,Skinned and Fucked,5mQVlNTbX3GMbpp0RgIXTJ,0.000227,0.301,0.978,9,-5.534,1,0.234,0.237,0.551,0.231,133.04,231587,4
Ingested,"Revered by No-One, Feared by All",Titanomachy,7uGsN6EifVvuiGPMRvApJM,2.23e-05,0.478,0.994,2,-2.099,1,0.134,2.08e-06,0.0627,0.157,135.012,203102,4
Ingested,The Architect Of Extinction (NotSet),Narcissistic Apathy,5mg4uYTrr51O4hSmOE0VUq,8.34e-06,0.288,0.995,2,-2.295,1,0.219,0.879,0.317,0.102,140.081,226653,4
