artist,album,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Cluster
Zac Brown Band,The Foundation,Chicken Fried,4dGJf1SER1T6ooX46vwzRB,0.645,0.5660000000000001,0.713,6,-4.25,1,0.0417,0.0,0.114,0.807,169.864,238147,4,0
Zac Brown Band,You Get What You Give (Deluxe),As She's Walking Away (feat. Alan Jackson),5qYiVdWxd84wRWGIQ9Hts6,0.474,0.5529999999999999,0.619,3,-7.101,1,0.0308,0.0,0.12300000000000001,0.374,183.91,223827,4,0
Eli Young Band,Life At Best,Crazy Girl,1nVLAEzhBXMJLR5zAl90Nl,0.00041500000000000006,0.366,0.6509999999999999,4,-3.842,1,0.031,0.00526,0.271,0.257,151.343,200707,3,0
Luke Bryan,Tailgates & Tanlines,Drunk On You,3b7CDTKB0SRTmQ6ytYi5vZ,0.17800000000000002,0.5579999999999999,0.872,9,-4.401,1,0.0449,0.0,0.17300000000000001,0.47200000000000003,143.971,213547,4,0
Luke Bryan,Kick The Dust Up,Kick The Dust Up,4LaKcWRqoZKnN626xheqM2,0.18,0.596,0.858,1,-2.377,1,0.0493,0.0,0.321,0.8190000000000001,172.108,192906,4,0
Zac Brown Band,The Foundation,Toes,5kjyiH6but1t2UDXq15aeS,0.655,0.8,0.759,11,-5.398,1,0.0378,0.0,0.0897,0.821,129.97899999999998,262773,4,0
Toby Keith,Made In America,Made In America,0sl8awl4hoj9cjU2AJqBjl,0.0775,0.48200000000000004,0.753,9,-4.997,1,0.0367,0.0,0.105,0.467,172.149,196053,4,0
Rodney Atkins,It's America,Farmer's Daughter,5rmTFBL85HmVX1Ld3n7e5J,0.221,0.613,0.802,6,-3.407,1,0.0308,0.0,0.11699999999999999,0.708,134.01,207053,4,0
Zac Brown Band,You Get What You Give (Deluxe),No Hurry,020ffiIfWvx5EH9VJ8Dkg2,0.376,0.564,0.531,3,-5.809,1,0.0287,0.0,0.312,0.40700000000000003,146.018,226227,4,0
Zac Brown Band,Uncaged,Goodbye in Her Eyes,3yM53DMMIioxVy7Pha1hD0,0.163,0.4,0.5579999999999999,3,-7.393,1,0.038,3.76e-06,0.0879,0.376,81.271,324267,4,0
Zac Brown Band,The Foundation,Highway 20 Ride,7J06GPr8b6A0zRHTZhah6s,0.551,0.55,0.402,3,-7.195,1,0.0339,1.3800000000000002e-05,0.105,0.428,76.105,229280,4,0
Rascal Flatts,Banjo,Banjo,12aB7rJIwjLVxvgZlkZuqG,0.0212,0.633,0.851,2,-6.372000000000001,1,0.0362,0.0,0.172,0.7829999999999999,101.99600000000001,257093,4,0
Luke Bryan,Crash My Party (Deluxe),Play It Again,6ssBjjX1NrlTkp7vP3zN5t,0.0931,0.508,0.882,11,-3.239,1,0.0652,0.0,0.0712,0.595,143.936,226867,4,0
Zac Brown Band,Homegrown,Homegrown,5gnV9rhNQlb6nqFiwQgKVf,0.0279,0.72,0.8490000000000001,6,-2.246,1,0.0316,0.000169,0.0971,0.956,105.012,205720,4,0
Kenny Chesney,Greatest Hits,What I Need to Do,203F5fqdu8WK880DM2cqVe,0.43200000000000005,0.622,0.428,8,-10.146,1,0.0338,1.2e-05,0.11900000000000001,0.22899999999999998,77.127,244293,4,0
Brad Paisley,Part II,I'm Gonna Miss Her,4ipZsAA3YuqCDSXiPoEGIv,0.55,0.5589999999999999,0.46399999999999997,6,-9.687000000000001,1,0.0272,0.0,0.107,0.35100000000000003,98.354,194307,4,0
Kenny Chesney,The Big Revival,Don't It,5d2dxii9wphbD8UmkMh9IT,0.479,0.748,0.32799999999999996,0,-8.693,1,0.0318,3.24e-06,0.11199999999999999,0.35100000000000003,131.395,196307,4,0
Zac Brown Band,Uncaged,Sweet Annie,2PEkXkHKvk4bnC1TgTDCDM,0.171,0.635,0.434,6,-7.986000000000001,1,0.0298,1.1e-06,0.106,0.171,139.976,278693,4,0
Zac Brown Band,"The Grohl Sessions, Vol. 1",All Alright,66GSSL3YTkBqWHDlKg39BT,0.0844,0.439,0.591,8,-5.754,1,0.0273,8.840000000000001e-05,0.146,0.48200000000000004,78.355,264093,4,0
Luke Bryan,Doin' My Thing,Drinkin' Beer And Wastin' Bullets,4TkVE9FZudrKDdchZNTMqL,0.0126,0.493,0.75,7,-4.748,0,0.0327,1.73e-05,0.09699999999999999,0.24600000000000002,131.984,259599,4,0
Luke Bryan,Tailgates & Tanlines,Muckalee Creek Water,2ureHr8RL277yPUXHJBJPq,0.0829,0.5770000000000001,0.8390000000000001,0,-3.535,1,0.0394,1.62e-06,0.0999,0.423,132.063,236293,4,0
Zac Brown Band,You Get What You Give,Colder Weather,203lAMNjyNvuFUHXUxh3hI,0.45799999999999996,0.667,0.381,3,-7.494,1,0.0294,0.0,0.11599999999999999,0.19899999999999998,135.97899999999998,273893,4,0
Dierks Bentley,I Hold On,I Hold On,5MmyCzy1Lc6ywv77f3BZpV,0.0724,0.614,0.713,0,-6.497999999999999,1,0.0434,0.000721,0.10300000000000001,0.215,117.943,279293,4,0
Luke Bryan,Tailgates & Tanlines,I Don't Want This Night To End,0cV4xwUA4ue2deqq4CZFko,0.0275,0.616,0.728,9,-4.02,0,0.0278,0.0,0.228,0.375,111.934,219973,4,0
Eric Church,Give Me Back My Hometown,Give Me Back My Hometown,7AGtAPxCdU1RiGto2XzLFR,0.527,0.613,0.662,1,-7.797000000000001,1,0.0294,0.141,0.0778,0.516,104.023,252493,4,0
Eric Church,Chief,Creepin',2krJlC7MXXpOdPipgc0TaS,0.0389,0.46399999999999997,0.889,5,-5.042,1,0.0497,0.0272,0.31,0.539,87.85799999999999,232720,4,0
Sam Hunt,Montevallo,Leave The Night On,3wx2kQWPn9p5UppQbNhPAk,0.0951,0.514,0.951,9,-3.813,1,0.0603,0.0,0.349,0.838,171.96,192160,4,0
Zac Brown Band,The Foundation,Free,4bWlAEbGHhPKQNjhTstN2p,0.24,0.45299999999999996,0.41200000000000003,1,-7.539,1,0.0276,0.00021,0.10099999999999999,0.282,75.752,228653,4,0
Jason Aldean,"Old Boots, New Dirt",Tonight Looks Good on You,55wMCY3DdygMCJTViwv4vQ,0.228,0.485,0.748,6,-5.575,0,0.0543,0.0,0.0946,0.528,169.915,231874,4,0
Jason Aldean,Wide Open,The Truth,0NwdiZqOIoxVBdqng7Ik7p,0.263,0.485,0.585,9,-5.28,1,0.0259,1.16e-06,0.10300000000000001,0.34600000000000003,143.031,238413,4,0
Eric Church,The Outsiders,The Outsiders,1VN6TvmHTIWvLzBAOmre6P,0.272,0.409,0.8,7,-5.216,1,0.0746,5.2900000000000005e-05,0.092,0.321,159.94299999999998,252893,4,0
Cole Swindell,Cole Swindell,Chillin' It,0Utg7sirTPqrs6Cx0FbriQ,0.511,0.5760000000000001,0.8490000000000001,9,-3.057,1,0.0386,3.8900000000000004e-05,0.109,0.6659999999999999,137.982,196747,4,0
John Denver,"The John Denver Collection, Vol. 1: Take Me Home Country Roads","Take Me Home, Country Roads - Rerecorded",2xYlyywNgefLCRDG8hlxZq,0.546,0.255,0.43,9,-12.564,1,0.0322,1.87e-05,0.188,0.546,164.267,197813,4,0
Keith Urban,Break On Me,Break On Me,3W5GXbS3ugsYjx1X0xBNbL,0.38,0.62,0.764,8,-6.757000000000001,1,0.0314,0.000154,0.11199999999999999,0.461,86.99600000000001,209253,4,0
Florida Georgia Line,Anything Goes,Confession,6IFPfV8PNSYOmufzQ95hmm,0.106,0.5489999999999999,0.878,1,-5.066,1,0.0358,6.07e-05,0.17600000000000002,0.44,104.98,190640,4,0
Jason Aldean,"Old Boots, New Dirt",Just Gettin' Started,0jLhHqtVjmF50jsk2O6mGw,0.40700000000000003,0.502,0.804,9,-4.602,0,0.0819,1e-06,0.10800000000000001,0.488,167.938,195391,4,0
Zac Brown Band,JEKYLL + HYDE,Beautiful Drug,0vcfOQOvTCv8ckiRs8Xc1Z,0.0539,0.619,0.852,8,-5.242999999999999,0,0.0808,2.82e-06,0.124,0.33899999999999997,125.943,191600,4,0
Chris Stapleton,Traveller,Nobody To Blame,4WRRCuJYRq7gUKiupxVH9W,0.0143,0.534,0.6659999999999999,9,-9.471,1,0.0335,0.0615,0.113,0.59,87.40100000000001,244147,4,0
Blake Shelton,Came Here To Forget,Came Here to Forget,1HwAeValR9dJzAf8Erlv3s,0.33399999999999996,0.613,0.664,4,-6.835,1,0.0283,1.93e-05,0.11,0.513,130.034,220347,4,0
Old Dominion,Meat and Candy,Snapback,7I5fYc4qKJddht8Ozhqqdx,0.302,0.687,0.7929999999999999,5,-3.577,1,0.0333,3.46e-06,0.1,0.6729999999999999,100.993,206507,4,0
George Strait,Somewhere Down In Texas,By The Light Of A Burning Bridge,1rI16a6D7FWNDWxqrOLELx,0.0518,0.598,0.7609999999999999,3,-6.15,1,0.0267,3.73e-06,0.111,0.573,147.125,197853,4,0
Luke Bryan,Kill The Lights,"Huntin', Fishin' And Lovin' Every Day",6nUKELHbV6Tdj5OuQbksKH,0.129,0.539,0.828,0,-4.302,1,0.0378,1.0800000000000002e-05,0.12,0.37799999999999995,76.955,278640,4,0
Florida Georgia Line,H.O.L.Y.,H.O.L.Y.,19PJf5HzeiVW0mdk82Swmn,0.361,0.526,0.6609999999999999,7,-3.8280000000000003,0,0.0333,0.0,0.087,0.556,78.132,196960,4,0
