artist,album,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Sitting Duck,Wonderland Chapter 1,Be Kind,11nqw7Ax8rcIIeLI4rjpvS,0.785,0.657,0.124,3,-20.733,1,0.0276,0.771,0.0954,0.083,140.0,138857,4
Various Artists,Lazy Sunday,Stray,4XaeYKGQIEPmlz2oYACbcQ,0.864,0.548,0.248,6,-16.301,1,0.0386,0.915,0.105,0.0904,139.947,126862,4
Chiccote's Beats,Illusion,Back,3wYZ0J5uNgIJMYLcSTCtO3,0.875,0.612,0.113,0,-17.914,1,0.0342,0.88,0.0722,0.136,80.008,144000,4
Various Artists,1 Am. Study Session,Drops,0bBffewTK0oyCriEnYSbHY,0.73,0.688,0.336,6,-12.531,1,0.177,0.882,0.134,0.311,83.065,122892,4
Chris Mazuera,Perspective,First Snow,518qBWnxXBWHe7oYoVR6RA,0.945,0.611,0.1,2,-23.194,1,0.0449,0.935,0.0784,0.197,103.9,175385,4
Various Artists,Lazy Sunday,Quilted Dreams,36mNaqxxmYvscr4cdrC5vy,0.884,0.682,0.165,5,-11.136,1,0.102,0.903,0.129,0.274,144.111,121250,4
Jhove,Before You Go,If Only You Knew,7xmHPwtWRIleQIAM5vQURY,0.857,0.717,0.1,1,-17.464,1,0.0535,0.951,0.0946,0.203,136.012,157941,4
Various Artists,3 Am. Study Session,Crescent,1pPfEi9IdQLrt2eqYkyo1y,0.632,0.684,0.275,4,-19.099,0,0.0491,0.954,0.0767,0.0379,120.053,220000,4
eugenio izzi,Feel Free To Imagine,Get Lost In The Mind's Ocean,2cnBpaZVhZAuMKWHCyckhO,0.91,0.814,0.136,0,-15.627,1,0.0894,0.962,0.111,0.203,133.989,146866,4
ENRA,Tomorrows That Follow,Tomorrows That Follow,1pMpplr5zNfs47xTiIEVyW,0.454,0.603,0.228,3,-15.237,1,0.0416,0.864,0.314,0.237,79.949,108070,4
Chris Mazuera,Perspective,"Giving, Not Taking",4elFAtcRs6jScW6Fyc0dSS,0.53,0.769,0.32,5,-13.314,0,0.111,0.5,0.0847,0.461,73.016,184110,4
Mila Coolness,Silent River,Far Away,0R1BXxdZMw2wnrm6OcXx6s,0.933,0.502,0.143,11,-26.551,1,0.036,0.906,0.106,0.169,80.082,159000,1
Various Artists,2 Am. Study Session,In Passing,1m7dIu65R93XCHNL5I7ugs,0.776,0.547,0.257,5,-16.185,1,0.0503,0.906,0.117,0.0856,152.002,170526,4
Various Artists,3 Am. Study Session,Sheets,2oHyqMTdHrxHEMr1IepXV7,0.594,0.767,0.082,9,-13.005,0,0.0722,0.89,0.0604,0.249,80.056,120038,4
Various Artists,3 Am. Study Session,Weightless,5ZJNPYJvyv9kL2AtRwnY0G,0.919,0.672,0.306,9,-7.006,1,0.0288,0.921,0.105,0.206,140.101,136286,4
eugenio izzi,Feel Free To Imagine,Climb The Roof To Breathe Better,13wyYO75TKYp27ZN2J9HEb,0.944,0.635,0.0664,7,-15.527,0,0.0395,0.93,0.119,0.429,145.971,138082,4
Laffey,Summer Nights,Moonlight,2ZNhC4mJMn64VHkwuZkoQx,0.923,0.763,0.294,11,-11.798,1,0.0639,0.928,0.0982,0.132,99.998,134981,4
Pandrezz,Relief,Deserved Rest,539QeZzK7P9xtQfn8aXgBX,0.452,0.573,0.0953,10,-17.755,1,0.107,0.646,0.0975,0.039,64.234,162187,4
Pandrezz,Relief,When She Sleeps,1wx1YMTIVZ8cQYJDeszLSd,0.763,0.613,0.0675,9,-18.804,0,0.0369,0.867,0.0922,0.107,106.014,179009,4
Kanisan,A Way of Existing,A Meditation,4oSn2W0GSpYhMMAFKswa4L,0.916,0.655,0.079,11,-17.653,0,0.0276,0.831,0.0718,0.166,103.944,92399,4
brillion.,Bedtime Stories Pt. 2,Cradle,4ditOLMbGYge1HhSjBvRE4,0.432,0.723,0.333,2,-11.403,1,0.149,0.887,0.0807,0.257,158.042,197468,4
S N U G,Moonglow,Blankets,31gCkc19CbQiFK1ikFW2fs,0.931,0.664,0.41,0,-12.981,1,0.0251,0.857,0.115,0.0399,96.989,178157,4
xander.,Cabin Fever,Missing You,2Pxpn2uJqNW2miVdWryFY5,0.00142,0.583,0.291,9,-17.428,1,0.0611,0.261,0.04,0.192,88.971,188764,4
Dontcry,Odyssey,Decay,2zz172fPHIV9uzcwHTCA10,0.127,0.852,0.174,1,-11.231,1,0.426,0.905,0.124,0.583,80.046,145164,4
Sitting Duck,Wonderland Chapter 1,Slow Mornings,2GfEADLRSFExSLqIhDLQ25,0.871,0.727,0.0847,2,-20.258,1,0.0533,0.816,0.0875,0.363,130.014,144000,4
dryhope,Contrasts,First Light,0UuMBm6nCC5YoyobNgW54i,0.71,0.868,0.111,5,-14.03,0,0.271,0.95,0.107,0.511,140.125,123287,1
Dontcry,Jiro Dreams,Sashimi,1ER5CxMsKicKfSoVJyRi79,0.612,0.753,0.227,2,-11.0,1,0.114,0.849,0.109,0.214,82.019,96220,4
Various Artists,Lazy Sunday,Mmmm,2cp3xfiYmcaQufk5ipRT4S,0.913,0.595,0.344,2,-13.672,1,0.0365,0.88,0.418,0.212,85.321,142500,5
No Spirit,Memories We Made,Memories We Made,0QqusGKX2WdoIrVNbU2xwS,0.961,0.364,0.161,1,-17.278,1,0.034,0.878,0.101,0.0824,115.504,227532,3
Kupla,Life Forms,Weightless,4qslrKrUAJklf98A3Ik2Q2,0.825,0.571,0.256,11,-12.564,1,0.0827,0.244,0.204,0.365,90.03,174380,4
Kupla,Life Forms,Purple Vision,7murAWWK27piC9AvGVOWNv,0.898,0.47,0.444,9,-13.387,0,0.215,0.916,0.109,0.459,96.157,156206,5
Flitz&Suppe,Yokai,Tanuki,10yNtqLGeJYXm40lNku4AQ,0.682,0.484,0.227,1,-11.785,0,0.056,0.541,0.121,0.103,161.324,144000,4
Oatmello,Dove,Hushed Tones,1UMTVaGYOkLShJxtekqJbk,0.786,0.681,0.396,0,-8.931,1,0.105,0.788,0.132,0.294,155.997,147885,4
Various Artists,Lazy Sunday,It All,22pZ6YWLkmkk4o1o20oNyV,0.981,0.465,0.0844,2,-14.483,1,0.0444,0.941,0.248,0.201,144.057,160000,4
Fatb,Conscious Ego,Settembre,2h1CQA5UG2mtWKkpI2fFxt,0.0724,0.53,0.276,7,-10.698,1,0.302,0.0689,0.0976,0.372,149.881,126000,1
Various Artists,2 Am. Study Session,Ships,1JcAueRD5KysL5GDxsv84S,0.902,0.71,0.255,0,-11.151,1,0.0576,0.948,0.0959,0.186,76.027,91579,4
Various Artists,2 Am. Study Session,Honey & Lemon,2xGmaoqreymh3kbNA7Giot,0.839,0.862,0.163,8,-12.942,1,0.321,0.278,0.0966,0.269,122.99,105373,3
Kupla,Life Forms,Distant Lands,3YiRy3520aDMGTRcDrFbrZ,0.859,0.669,0.413,10,-9.411,0,0.109,0.806,0.696,0.172,83.067,170222,4
goosetaf,Perpetual,Spend Some Time,1eWEyadL9ipQD1ap3IP19M,0.936,0.776,0.351,9,-8.794,1,0.17,0.793,0.09,0.153,128.194,135000,4
Various Artists,2 Am. Study Session,Inspect,3lvs7wY2cLxckUfJ0JojEd,0.765,0.657,0.177,10,-13.928,1,0.0885,0.914,0.117,0.21,140.006,178295,4
Various Artists,Lazy Sunday,Before,6R21mLVsXFN5I3PpoOsRIf,0.441,0.421,0.168,0,-12.746,1,0.0382,0.896,0.147,0.0347,80.01,192000,4
Laffey,Summer Nights,A Walk in the Park,2njn3Dr0edrc97PAMoSYBR,0.902,0.506,0.178,1,-19.938,1,0.0618,0.93,0.0738,0.11,58.956,114714,4
Hoogway,Forever Ago,Different Waves,79BgrSSsxTvGA3JHhfBDMi,0.851,0.751,0.0972,7,-21.151,1,0.0503,0.786,0.116,0.541,123.973,120968,4
Ajmw,Heading Home,Patterns,019sTmgzfzwOr6V6yWYfR5,0.762,0.652,0.153,2,-15.976,0,0.0769,0.899,0.0792,0.181,76.99,149610,4
tysu,Window Seat,Moonwake,6T9yB0MvNHqRUzKG2gtDDQ,0.799,0.8,0.164,1,-19.638,1,0.0951,0.838,0.118,0.272,104.049,129231,4
Mila Coolness,Silent River,Balance,6XDKiHD6zB5T8dyXaP3qFc,0.955,0.479,0.0264,2,-23.454,0,0.0274,0.96,0.0947,0.229,87.408,142629,4
xander.,Cabin Fever,Dreams Come True,5gEMIy111ZFXi1BUdv9iLV,0.141,0.71,0.345,1,-15.082,0,0.267,0.717,0.25,0.127,80.934,154074,4
Various Artists,3 Am. Study Session,Somewhere Else,0lkLB2B7b4G0fs4i0ouCYn,0.458,0.559,0.208,1,-10.964,1,0.0289,0.734,0.118,0.168,77.115,155844,3
